Tipo esercizio storico pubblico esercizio;Insegna;Indirizzo;Tipo via;Nome via;Civico;Codice via;ZD;Forma commercio;Forma commercio precedente;Forma vendita;Settore storico pubblico esercizio;Superficie somministrazione;Tipo_macro;Forma vendita_filled;is_outlier_superficie
bar caffè;unknown;"via san maurilio n. 2 ;via san maurilio 002; isolato:428; accesso: accesso esterno; (z.d. 1)";via;san maurilio;2;563;1;somministrazione/minuto;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;bar caffè e simili;bar gastronomici e simili;bar caffè;cibi cotti preconfezionati;genere merceol.autorizz.sanit.";51.0;BAR;al banco;False
bar caffè;unknown;"via san pietro all'orto n. 7 ;via san pietro all'orto 007; isolato:361; accesso: accesso esterno; (z.d. 1)";via;san pietro all'orto;7;213;1;solo somministrazione;somministrazione;misto;"prodotti di gastronomia;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda;bar caffè e simili;bar caffè";93.0;BAR;misto;False
bar caffè;unknown;"via san senatore n. 14 ;via san senatore 014; isolato:271; accesso: accesso esterno; (z.d. 1)";via;san senatore;14;404;1;solo somministrazione;somministrazione;al banco;"bar caffè;genere merceol.autorizz.sanit.;prodotti di gastronomia;bar gastronomici e simili";51.0;BAR;al banco;False
bar caffè;unknown;"via santa cecilia n. 2 ;via santa cecilia 002; isolato:190; accesso: accesso esterno; (z.d. 1)";via;santa cecilia;2;349;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;prodotti di gastronomia;bar caffè e simili;bar caffè";34.0;BAR;al banco;False
bar caffè;unknown;"via santa croce n. 2 ; isolato:212; accesso: accesso esterno; (z.d. 1)";via;santa croce;2;5188;1;somministrazione/minuto;somministrazione;al banco;"tavola fredda;cibi cotti preconfezionati;bar gastronomici e simili;elettr.automatici meccaniche;bar caffè";56.0;BAR;al banco;False
bar caffè;unknown;"via sant' agnese n. 14 ;via sant' agnese 014; isolato:340; accesso: accesso esterno; (z.d. 1)";via;sant' agnese;14;648;1;solo somministrazione;somministrazione;misto;"bar caffè e simili;ristorante;tavola fredda;bar caffè;genere merceol.autorizz.sanit.;ristorante, trattoria, osteria";83.0;RISTORANTE;misto;False
bar caffè;unknown;via santagostino paolo n. 1 altri locali (z.d. 9);via;santagostino paolo;1;1594;9;solo somministrazione;somministrazione;al banco;"bar caffè;tavola fredda;gioco video";32.0;BAR;al banco;False
bar caffè;unknown;"via santa maria alla porta n. 12 ;via santa maria alla porta 012; isolato:345; accesso: accesso esterno; (z.d. 1)";via;santa maria alla porta;12;620;1;solo somministrazione;somministrazione;al banco;"ristorante, trattoria, osteria;bar pasticc.gelat.crem.creper.";71.0;RISTORANTE;al banco;False
bar caffè;unknown;"via santa maria alla porta num.011/a ; isolato:344; accesso: accesso esterno; (z.d. 1)";via;santa maria alla porta;11;620;1;somministrazione/minuto;somministrazione;al banco;bar caffè;40.0;BAR;al banco;False
bar caffè;unknown;"via santa marta n. 15 ;via santa marta 015; isolato:400; accesso: accesso esterno; (z.d. 1)";via;santa marta;15;562;1;solo somministrazione;somministrazione;al banco;"bar caffè;prodotti di gastronomia;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda";105.0;BAR;al banco;False
bar caffè;unknown;"via santa valeria n. 5 ;via santa valeria 005; isolato:337; accesso: accesso esterno; (z.d. 1)";via;santa valeria;5;641;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;tavola fredda";80.0;BAR;al banco;False
bar caffè;unknown;"via sant' erlembaldo n. 1 ; isolato:143; accesso: accesso esterno; (z.d. 2)";via;sant' erlembaldo;1;2356;2;somministrazione/minuto;somministrazione;al banco;"cibi cotti preconfezionati;bar gastronomici e simili;bar caffè;genere merceol.autorizz.sanit.";40.0;BAR;al banco;False
bar caffè;unknown;"via sant' uguzzone n. 21 ; isolato:011; accesso: accesso esterno; (z.d. 2)";via;sant' uguzzone;21;2448;2;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè;ristorante, trattoria, osteria;ristorante";97.0;RISTORANTE;al banco;False
bar caffè;unknown;"via san vincenzo n. 15 ; isolato:463; accesso: accesso esterno; (z.d. 1)";via;san vincenzo;15;5098;1;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè;cibi cotti preconfezionati";71.0;BAR;misto;False
bar caffè;unknown;"via san vittore n. 13 ;via san vittore 013; isolato:225; accesso: accesso esterno; (z.d. 1)";via;san vittore;13;647;1;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;bar caffè e simili;bar caffè;tavola fredda;genere merceol.autorizz.sanit.;cibi cotti preconfezionati";50.0;BAR;misto;False
bar caffè;unknown;"via san vittore n. 2 ;via san vittore 002; isolato:282; accesso: accesso esterno; (z.d. 1)";via;san vittore;2;647;1;solo somministrazione;somministrazione;al banco;"tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè e simili;cibi cotti preconfezionati;bar caffè";109.0;BAR;al banco;False
bar caffè;unknown;"via sanzio raffaello n. 30 ; isolato:211; accesso: accesso esterno; (z.d. 7)";via;sanzio raffaello;30;6283;7;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;tavola fredda;bar caffè e simili;bar caffè;cibi cotti preconfezionati;bar gastronomici e simili";33.0;BAR;al banco;False
bar caffè;unknown;"via sanzio raffaello n. 4 ; isolato:191; accesso: accesso esterno; (z.d. 7)";via;sanzio raffaello;4;6283;7;solo somministrazione;somministrazione;misto;"bar caffè e simili;pizzeria;tavola fredda;cibi cotti preconfezionati;bar caffè;ristorante, trattoria, osteria";73.0;RISTORANTE;misto;False
bar caffè;unknown;"via sanzio raffaello n. 4 ; isolato:191; accesso: accesso esterno; (z.d. 7)";via;sanzio raffaello;4;6283;7;somministrazione/minuto;somministrazione;misto;"carte;cibi cotti;bar caffè";55.0;BAR;misto;False
bar caffè;unknown;"via sanzio raffaello num.002/a /a; isolato:192; accesso: accesso esterno; (z.d. 7)";via;sanzio raffaello;2;6283;7;solo somministrazione;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;bar caffè e simili;tavola fredda;genere merceol.autorizz.sanit.;bar caffè";30.0;BAR;al banco;False
bar caffè;unknown;"via sapri n. 83 ; isolato:145; accesso: accesso esterno; (z.d. 8)";via;sapri;83;7441;8;solo somministrazione;somministrazione;misto;"bar caffè;licenza giochi leciti/elettr..;bar gastronomici e simili;bar caffè e simili;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;tavola fredda;prodotti di gastronomia";55.0;BAR;misto;False
bar caffè;unknown;"via saragat giuseppe n. 6 ; accesso: accesso esterno; (z.d. 2)";via;saragat giuseppe;6;2631;2;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;cibi cotti preconfezionati;disco-piano-americ.bar serali;tavola fredda;genere merceol.autorizz.sanit.;bar caffè;bar pasticc.gelat.crem.creper.;bar caffè e simili;tav.calde,self service,fast f.";103.0;BAR;al banco;False
bar caffè;unknown;"via sardegna n. 20 ; isolato:247; accesso: accesso esterno; (z.d. 7)";via;sardegna;20;6265;7;somministrazione/minuto;somministrazione;al banco;"bar caffè;bar pasticc.gelat.crem.creper.";15.0;BAR;al banco;False
bar caffè;unknown;"via sarfatti roberto n. 1 ; isolato:118; accesso: accesso esterno; (z.d. 5)";via;sarfatti roberto;1;4202;5;somministrazione/minuto;somministrazione;al banco;"giochi legge 388/2000;bar gastronomici e simili;prodotti di gastronomia;bar caffè;tavola fredda";122.0;BAR;al banco;False
bar caffè;unknown;"via sarpi fra' paolo n. 38 ; isolato:074; accesso: accesso esterno; (z.d. 8)";via;sarpi fra' paolo;38;7210;8;solo somministrazione;somministrazione;misto;"bar caffè;genere merceol.autorizz.sanit.;tavola fredda;bar caffè e simili;wine,birr.,pub enot.,caff.,the";151.0;BAR;misto;False
bar caffè;unknown;"via sarpi fra' paolo n. 50 ; isolato:071; accesso: accesso esterno; (z.d. 8)";via;sarpi fra' paolo;50;7210;8;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;tavola fredda;prodotti di gastronomia";35.0;BAR;al banco;False
bar caffè;unknown;"via sarpi fra' paolo n. 63 ; isolato:105; accesso: accesso esterno; (z.d. 8)";via;sarpi fra' paolo;63;7210;8;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè;tavola fredda";36.0;BAR;al banco;False
bar caffè;unknown;"via sarzana n. 40 ; isolato:013; accesso: accesso esterno; (z.d. 9)";via;sarzana;40;1334;9;somministrazione/minuto;somministrazione;al banco;"bar caffè;elettr.automatici meccaniche;tavola fredda";43.0;BAR;al banco;False
bar caffè;unknown;"via sassetti filippo n. 15 ; isolato:283; accesso: accesso esterno; (z.d. 9)";via;sassetti filippo;15;1157;9;somministrazione/minuto;somministrazione;al banco;"bar gastronomici e simili;carte;prodotti di gastronomia;bigliardino elettrico;biliardo;bar caffè e simili;tavola fredda;bar caffè";69.0;BAR;al banco;False
bar caffè;unknown;"via sauli sant' alessandro n. 28 ; isolato:329; accesso: accesso esterno; (z.d. 2)";via;sauli sant' alessandro;28;2273;2;solo somministrazione;somministrazione;al banco;"giochi legge 388/2000;bar caffè;bar gastronomici e simili;tavola fredda";60.0;BAR;al banco;False
bar caffè;unknown;"via savona n. 1 ; isolato:037; accesso: accesso esterno; (z.d. 6)";via;savona;1;5122;6;solo somministrazione;somministrazione;al banco;"bar caffè;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar gastronomici e simili";60.0;BAR;al banco;False
bar caffè;unknown;"via savona n. 20 ; isolato:026; accesso: accesso esterno; (z.d. 6)";via;savona;20;5122;6;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;ristorante;ristorante, trattoria, osteria";42.0;RISTORANTE;al banco;False
bar caffè;unknown;"via savona n. 20 ; isolato:026; accesso: accesso esterno; (z.d. 6)";via;savona;20;5122;6;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè e simili;elettr.automatici meccaniche;tavola fredda;bar caffè";36.0;BAR;misto;False
bar caffè;unknown;"via savona n. 86 ; isolato:165; accesso: accesso esterno; (z.d. 6)";via;savona;86;5122;6;solo somministrazione;somministrazione;al banco;"bar caffè;cibi cotti preconfezionati;bar caffè e simili;tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili";35.0;BAR;al banco;False
bar caffè;unknown;"via scalvini giovita n. 16 ; isolato:076; accesso: accesso esterno; (z.d. 9)";via;scalvini giovita;16;1265;9;solo somministrazione;somministrazione;al banco;"bar caffè;pizzerie e simili;pizzeria;cibi cotti;genere merceol.autorizz.sanit.";40.0;PIZZERIA;al banco;False
bar caffè;unknown;"via scalvini giovita n. 4 ; isolato:076; accesso: accesso esterno; (z.d. 9)";via;scalvini giovita;4;1265;9;solo somministrazione;somministrazione;misto;"bar caffè;carte;trattoria;gioco video";213.0;RISTORANTE;misto;False
bar caffè;unknown;"via scarlatti domenico n. 19 ; isolato:041; accesso: accesso esterno; (z.d. 3)";via;scarlatti domenico;19;2136;3;somministrazione/minuto;somministrazione;al banco;"bar gastronomici e simili;tavola fredda;carte;bar caffè";41.0;BAR;al banco;False
bar caffè;unknown;"via scialoia vittorio n. 6 ; isolato:188; accesso: accesso esterno; (z.d. 9)";via;scialoia vittorio;6;1086;9;somministrazione/minuto;somministrazione;al banco;"bar gastronomici e simili;bar caffè;tavola fredda";36.0;BAR;al banco;False
bar caffè;unknown;"via scrivia n. 1 ; isolato:021; accesso: accesso esterno; (z.d. 4)";via;scrivia;1;4146;4;somministrazione/minuto;somministrazione;al banco;"bar caffè;cibi cotti preconfezionati;bar caffè e simili;bar gastronomici e simili";61.0;BAR;al banco;False
bar caffè;unknown;"via sebenico n. 14 ; isolato:280; accesso: accesso esterno; (z.d. 9)";via;sebenico;14;1131;9;somministrazione/minuto;somministrazione;al banco;"tavola calda;ristorante, trattoria, osteria;bar caffè;bar caffè e simili;genere merceol.autorizz.sanit.";90.0;RISTORANTE;al banco;False
bar caffè;unknown;"via sebenico n. 5 ; isolato:282; accesso: accesso esterno; (z.d. 9)";via;sebenico;5;1131;9;solo somministrazione;somministrazione;al banco;"bar caffè e simili;prodotti di gastronomia;genere merceol.autorizz.sanit.;bar caffè";37.0;BAR;al banco;False
bar caffè;unknown;"via secchi angelo n. 2 ; isolato:108; accesso: accesso esterno; (z.d. 3)";via;secchi angelo;2;2097;3;solo somministrazione;somministrazione;misto;"bar caffè;cibi cotti preconfezionati;bar caffè e simili;genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili";57.0;BAR;misto;False
bar caffè;unknown;"via selvanesco n. 36 ; isolato:078; accesso: accesso esterno; (z.d. 5)";via;selvanesco;36;4350;5;somministrazione/minuto;somministrazione;misto;"trattoria;cucina tipica lombarda;bar caffè";94.0;RISTORANTE;misto;False
bar caffè;unknown;"via senato n. 2 ;via senato 002; isolato:186; (z.d. 1)";via;senato;2;236;1;solo somministrazione;somministrazione;al banco;"tavola fredda;bar caffè;tav.calde,self service,fast f.;bar caffè e simili";32.0;BAR;non dichiarata;False
bar caffè;unknown;via ponti della priula n. 2 (z.d. 4);via;ponti della priula;2;4170;4;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè;tavola fredda;prodotti di gastronomia;genere merceol.autorizz.sanit.";95.0;BAR;al banco;False
bar caffè;unknown;"via settembrini luigi n. 15 ; isolato:055; accesso: accesso esterno; (z.d. 2)";via;settembrini luigi;15;2127;2;solo somministrazione;somministrazione;al banco;"tavola fredda;bar gastronomici e simili;prodotti di gastronomia;bar caffè;genere merceol.autorizz.sanit.";20.0;BAR;al banco;False
bar caffè;unknown;"via settembrini luigi n. 30 ; isolato:041; accesso: accesso esterno; (z.d. 3)";via;settembrini luigi;30;2127;3;somministrazione/minuto;somministrazione;al banco;"elettr.automatici meccaniche;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;giochi leciti;giochi di societa'";44.0;BAR;al banco;False
bar caffè;unknown;"via sforza ascanio n. 11 ; isolato:094; accesso: accesso esterno; (z.d. 5)";via;sforza ascanio;11;5201;5;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè";47.0;BAR;al banco;False
bar caffè;unknown;"via sforza ascanio n. 49 ; isolato:125; accesso: accesso esterno; (z.d. 5)";via;sforza ascanio;49;5201;5;solo somministrazione;somministrazione;misto;"disco-piano-americ.bar serali;pizzerie e simili;trattoria;genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar caffè";173.0;RISTORANTE;misto;False
bar caffè;unknown;"via sforza ascanio n. 63 ; isolato:126; accesso: accesso esterno; (z.d. 5)";via;sforza ascanio;63;5201;5;somministrazione/minuto;somministrazione;al banco;"bar caffè;giochi legge 388/2000;tavola fredda;prodotti di gastronomia;bar gastronomici e simili";107.0;BAR;al banco;False
bar caffè;unknown;"via sforza ascanio n. 75 ; isolato:001; accesso: accesso esterno; (z.d. 5)";via;sforza ascanio;75;5201;5;solo somministrazione;somministrazione;misto;"trattoria;ristorante, trattoria, osteria;bar caffè e simili;bar caffè";172.0;RISTORANTE;misto;False
bar caffè;unknown;"via sforza francesco n. 1 ;via sforza francesco 001; isolato:199; accesso: accesso esterno; (z.d. 1)";via;sforza francesco;1;330;1;solo somministrazione;somministrazione;al banco;"prodotti di gastronomia;bar caffè e simili;bar caffè;genere merceol.autorizz.sanit.;tavola fredda";38.0;BAR;al banco;False
bar caffè;unknown;"via sforza francesco n. 47 ;via sforza francesco 047; isolato:115; accesso: accesso esterno; (z.d. 1)";via;sforza francesco;47;330;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè;prodotti di gastronomia;bar caffè e simili;tavola fredda";41.0;BAR;al banco;False
bar caffè;unknown;"via sforza francesco n. 5 ;via sforza francesco 005; isolato:199; accesso: accesso esterno; (z.d. 1)";via;sforza francesco;5;330;1;somministrazione/minuto;somministrazione;al banco;"gioco video;cibi cotti preconfezionati;bar gastronomici e simili;bar caffè";57.0;BAR;al banco;False
bar caffè;unknown;"via s. giov. sul muro n. 4 ;via s. giov. sul muro 004; isolato:291; accesso: accesso esterno; (z.d. 1)";via;s. giov. sul muro;4;609;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili;bar caffè;cibi cotti preconfezionati";70.0;BAR;al banco;False
bar caffè;unknown;"via signorelli luca n. 1 con ingr. su via paolo sarpi; isolato:073; accesso: accesso esterno; (z.d. 8)";via;signorelli luca;1;7208;8;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;bar caffè e simili;cibi cotti preconfezionati";34.0;BAR;al banco;False
bar caffè;unknown;"via silio italico n. 1 ; isolato:115; accesso: accesso esterno; (z.d. 4)";via;silio italico;1;3193;4;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar caffè e simili;bar caffè;bar gastronomici e simili;tavola fredda";64.0;BAR;al banco;False
bar caffè;unknown;"via silva guglielmo n. 33 ; isolato:210; accesso: accesso esterno; (z.d. 8)";via;silva guglielmo;33;6400;8;solo somministrazione;somministrazione;al banco;"cibi cotti preconfezionati;bar gastronomici e simili;bar caffè";26.0;BAR;al banco;False
bar caffè;unknown;"via silva guglielmo n. 45 ; isolato:212; accesso: accesso esterno; (z.d. 8)";via;silva guglielmo;45;6400;8;solo somministrazione;somministrazione;al banco;bar caffè e simili;65.0;BAR;al banco;False
bar caffè;unknown;"via sismondi giancarlo n. 44 ; isolato:246; accesso: accesso esterno; (z.d. 4)";via;sismondi giancarlo;44;3256;4;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè";32.0;BAR;al banco;False
bar caffè;unknown;"via soderini luigi n. 55 ; isolato:071; accesso: accesso esterno; (z.d. 6)";via;soderini luigi;55;6675;6;solo somministrazione;somministrazione;al banco;;58.0;ALTRO;al banco;False
bar caffè;unknown;"via solari andrea n. 12 ; isolato:018; accesso: accesso esterno; (z.d. 6)";via;solari andrea;12;5111;6;somministrazione/minuto;somministrazione;al banco;"genere merceol.autorizz.sanit.;prodotti di gastronomia;bar gastronomici e simili;bar caffè";28.0;BAR;al banco;False
bar caffè;unknown;"via solari andrea n. 19 ; isolato:025; accesso: accesso esterno; (z.d. 6)";via;solari andrea;19;5111;6;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili;tavola fredda;bar caffè;genere merceol.autorizz.sanit.;cibi cotti preconfezionati";63.0;BAR;al banco;False
bar caffè;unknown;"via solari andrea n. 26 ; isolato:017; accesso: accesso esterno; (z.d. 6)";via;solari andrea;26;5111;6;solo somministrazione;somministrazione;misto;"bar caffè e simili;elettr.automatici meccaniche;bar caffè";38.0;BAR;misto;False
bar caffè;unknown;"via solari andrea n. 34 ; isolato:017; accesso: accesso esterno; (z.d. 6)";via;solari andrea;34;5111;6;somministrazione/minuto;somministrazione;al banco;"bar gastronomici e simili;elettr.automatici meccaniche;bar caffè;tavola fredda";40.0;BAR;al banco;False
bar caffè;unknown;"via solari andrea n. 4 ; isolato:019; accesso: accesso esterno; (z.d. 6)";via;solari andrea;4;5111;6;solo somministrazione;somministrazione;al banco;"tavola fredda;prodotti di gastronomia;bar gastronomici e simili;bar caffè;bar caffè e simili";53.0;BAR;al banco;False
bar caffè;unknown;"via solferino n. 18 ; isolato:247; accesso: accesso esterno; (z.d. 1)";via;solferino;18;1028;1;solo somministrazione;somministrazione;al banco;"bar caffè;cibi cotti preconfezionati";30.0;BAR;al banco;False
bar caffè;unknown;"via solferino n. 32 ; isolato:087; accesso: accesso esterno; (z.d. 1)";via;solferino;32;1028;1;solo somministrazione;somministrazione;misto;"tavola calda;tavola fredda;bar caffè;bar gastronomici e simili";63.0;BAR;misto;False
bar caffè;unknown;"via solferino n. 56 ; isolato:007; accesso: accesso esterno; (z.d. 1)";via;solferino;56;1028;1;solo somministrazione;somministrazione;misto;"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;tavola fredda;cibi cotti preconfezionati;bar caffè";205.0;RISTORANTE;misto;False
bar caffè;unknown;"via sonnino sidney n. 2 ; isolato:271; accesso: accesso esterno; (z.d. 8)";via;sonnino sidney;2;7262;8;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè;trattoria;tav.calde,self service,fast f.";76.0;RISTORANTE;misto;False
bar caffè;unknown;"via soperga n. 22 ; isolato:002; accesso: accesso esterno; (z.d. 2)";via;soperga;22;2262;2;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;tavola fredda;bar gastronomici e simili;prodotti di gastronomia";45.0;BAR;al banco;False
bar caffè;unknown;"via sottocorno pasquale n. 11 ; isolato:010; accesso: accesso esterno; (z.d. 4)";via;sottocorno pasquale;11;3152;4;solo somministrazione;somministrazione;misto;"tavola fredda;bar gastronomici e simili;bar caffè;genere merceol.autorizz.sanit.";29.0;BAR;misto;False
bar caffè;unknown;"via spartaco n. 25 ; isolato:057; accesso: accesso esterno; (z.d. 4)";via;spartaco;25;3186;4;somministrazione/minuto;minuto;al banco;"bar caffè;bar caffè e simili";35.0;BAR;al banco;False
bar caffè;unknown;"via spartaco n. 4 ; isolato:069; accesso: accesso esterno; (z.d. 4)";via;spartaco;4;3186;4;solo somministrazione;somministrazione;al banco;"prodotti di gastronomia;genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè;tavola fredda";57.0;BAR;al banco;False
bar caffè;unknown;"via spezia n. 2 ; isolato:022; accesso: accesso esterno; (z.d. 6)";via;spezia;2;5268;6;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;bar caffè e simili;cibi cotti;tav.calde,self service,fast f.";44.0;BAR;al banco;False
bar caffè;unknown;"via spontini gaspare n. 6 ; isolato:036; accesso: accesso esterno; (z.d. 3)";via;spontini gaspare;6;2141;3;solo somministrazione;somministrazione;misto;"bar caffè;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;pizzerie e simili;bar gastronomici e simili";147.0;PIZZERIA;misto;False
bar caffè;unknown;"via stendhal enrico n. 19 ; isolato:030; accesso: accesso esterno; (z.d. 6)";via;stendhal enrico;19;5135;6;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;cibi cotti preconfezionati;bar caffè;tavola fredda;genere merceol.autorizz.sanit.";80.0;BAR;al banco;False
bar caffè;unknown;"via stoppani antonio n. 15 ; isolato:090; (z.d. 3)";via;stoppani antonio;15;2163;3;solo somministrazione;somministrazione;al banco;bar caffè;41.0;BAR;non dichiarata;False
bar caffè;unknown;"via sulmona n. 23 ; isolato:007; accesso: accesso esterno; (z.d. 4)";via;sulmona;23;4180;4;solo somministrazione;somministrazione;al banco;"bar caffè e simili;tavola calda;genere merceol.autorizz.sanit.;bar caffè";64.0;BAR;al banco;False
bar caffè;unknown;"via sulmona n. 23 ; isolato:007; accesso: accesso esterno; (z.d. 4)";via;sulmona;23;4180;4;solo somministrazione;somministrazione;misto;"bar caffè e simili;bar gastronomici e simili;bar caffè;tavola fredda;genere merceol.autorizz.sanit.;cibi cotti preconfezionati";34.0;BAR;misto;False
bar caffè;unknown;"via tabacchi odoardo n. 11 ; isolato:114; accesso: accesso esterno; (z.d. 5)";via;tabacchi odoardo;11;5223;5;solo somministrazione;somministrazione;al banco;"bar caffè e simili;bar gastronomici e simili;bar caffè;tavola fredda;giochi legge 388/2000";63.0;BAR;al banco;False
bar caffè;unknown;"via tabacchi odoardo n. 2 ; isolato:128; accesso: accesso esterno; (z.d. 5)";via;tabacchi odoardo;2;5223;5;somministrazione/minuto;somministrazione;al banco;"bar caffè;bar caffè e simili;tavola fredda";35.0;BAR;al banco;False
bar caffè;unknown;"via tadino alessandro n. 13 ; isolato:104; accesso: accesso esterno; (z.d. 3)";via;tadino alessandro;13;2109;3;solo somministrazione;somministrazione;al banco;"bar caffè;genere merceol.autorizz.sanit.;tavola fredda;wine,birr.,pub enot.,caff.,the";64.0;BAR;al banco;False
bar caffè;unknown;"via tadino alessandro n. 6 ; isolato:131; accesso: accesso esterno; (z.d. 3)";via;tadino alessandro;6;2109;3;solo somministrazione;somministrazione;al banco;"tavola fredda;bar gastronomici e simili;bar caffè;genere merceol.autorizz.sanit.";34.0;BAR;al banco;False
bar caffè;unknown;"via tagiura n. 5 ; isolato:042; accesso: accesso esterno; (z.d. 6)";via;tagiura;5;6125;6;somministrazione/minuto;somministrazione;misto;"trattoria;bar caffè e simili;bar caffè;ristorante, trattoria, osteria";193.0;RISTORANTE;misto;False
bar caffè;unknown;"via tagliamento n. 11 ; isolato:024; accesso: accesso esterno; (z.d. 4)";via;tagliamento;11;4147;4;solo somministrazione;somministrazione;misto;"pizzeria;cibi cotti;bar caffè";60.0;PIZZERIA;misto;False
bar caffè;unknown;"via tagliamento n. 1 ; isolato:024; accesso: accesso esterno; (z.d. 4)";via;tagliamento;1;4147;4;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè e simili;tavola fredda;bar caffè";93.0;BAR;misto;False
bar caffè;unknown;"via tagliamento n. 2 ; isolato:024; accesso: accesso esterno; (z.d. 4)";via;tagliamento;2;4147;4;somministrazione/minuto;somministrazione;al banco;"tavola fredda;bar caffè;bar pasticc.gelat.crem.creper.;bar caffè e simili;bar caffè e simili";43.0;BAR;al banco;False
bar caffè;unknown;"via tajani filippo n. 1 ; isolato:165; accesso: accesso esterno; (z.d. 3)";via;tajani filippo;1;3235;3;solo somministrazione;somministrazione;al banco;"bar caffè;prodotti di gastronomia;elettr.automatici meccaniche";161.0;BAR;al banco;False
bar caffè;unknown;"via taramelli torquato n. 68 ; isolato:179; accesso: accesso esterno; (z.d. 2)";via;taramelli torquato;68;1164;2;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;bar gastronomici e simili;genere merceol.autorizz.sanit.;bar caffè e simili;cibi cotti preconfezionati;bar caffè;tavola fredda";37.0;BAR;misto;False
bar caffè;unknown;"via teodosio n. 102 ; isolato:005; accesso: accesso esterno; (z.d. 3)";via;teodosio;102;2550;3;solo somministrazione;somministrazione;al banco;"prodotti di gastronomia;bar gastronomici e simili;giochi legge 388/2000;bar caffè;tavola fredda";38.0;BAR;al banco;False
bar caffè;unknown;"via teodosio n. 1 ; isolato:054; accesso: accesso esterno; (z.d. 3)";via;teodosio;1;2550;3;somministrazione/minuto;somministrazione;al banco;"prodotti di gastronomia;genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè;giochi legge 388/2000;bar gastronomici e simili";55.0;BAR;al banco;False
bar caffè;unknown;"via teodosio n. 46 ; isolato:037; accesso: accesso esterno; (z.d. 3)";via;teodosio;46;2550;3;solo somministrazione;somministrazione;al banco;"bar caffè e simili;bar gastronomici e simili;bar caffè;prodotti di gastronomia;genere merceol.autorizz.sanit.";40.0;BAR;al banco;False
bar caffè;unknown;"via tertulliano n. 35 ; isolato:147; accesso: accesso esterno; (z.d. 4)";via;tertulliano;35;4094;4;somministrazione/minuto;somministrazione;al banco;"bar gastronomici e simili;bar caffè e simili;trattoria;bar caffè;ristorante, trattoria, osteria";80.0;RISTORANTE;al banco;False
bar caffè;unknown;"via teulie' pietro n. 20 ; isolato:100; accesso: accesso esterno; (z.d. 5)";via;teulie' pietro;20;4040;5;solo somministrazione;somministrazione;misto;"bar caffè e simili;cibi cotti preconfezionati;bar gastronomici e simili;bar caffè;genere merceol.autorizz.sanit.";53.0;BAR;misto;False
